"","pp_code","treatment","trial","block","pred_prob","pred_gain","pred_loss","pred_hotcold","uncens1_cens2","NrCards_perTrial","QneedAverage","Qtype1_average_5items","Qtype2_average_5items","Qtype1_average_4items","Qtype2_average_4items","Qtype1_average_3items"
"106",11,"B","b3p1g2l1","bl3","OneLossCard","+30p","-250p","hot",2,10,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"107",11,"B","b3p1g2l2","bl3","OneLossCard","+30p","-750p","hot",2,7,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"108",11,"B","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","hot",2,1,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"109",11,"B","b2p1g1l1","bl2","OneLossCard","+10p","-250p","hot",1,20,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"110",11,"B","b2p1g1l2","bl2","OneLossCard","+10p","-750p","hot",2,4,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"111",11,"B","b2p1g2l1","bl2","OneLossCard","+30p","-250p","hot",2,17,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"112",11,"B","b2p1g2l2","bl2","OneLossCard","+30p","-750p","hot",1,17,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"113",11,"B","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","hot",2,3,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"114",11,"B","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","hot",1,2,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"115",11,"B","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","hot",1,5,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"116",11,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","hot",2,3,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"117",11,"B","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","hot",1,6,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"118",11,"B","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","hot",1,2,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"119",11,"B","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","hot",2,6,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"120",11,"B","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","hot",1,4,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"121",11,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","cold",1,3,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"122",11,"B","b3p1g1l1","bl3","OneLossCard","+10p","-250p","cold",2,10,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"123",11,"B","b3p1g1l2","bl3","OneLossCard","+10p","-750p","cold",1,10,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"124",11,"B","b1p1g1l1","bl1","OneLossCard","+10p","-250p","cold",1,18,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"125",11,"B","b1p1g1l2","bl1","OneLossCard","+10p","-750p","cold",1,4,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"126",11,"B","b1p1g2l1","bl1","OneLossCard","+30p","-250p","cold",2,20,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"127",11,"B","b1p1g2l2","bl1","OneLossCard","+30p","-750p","cold",1,15,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"128",11,"B","b3p1g2l1","bl3","OneLossCard","+30p","-250p","cold",2,20,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"129",11,"B","b3p1g2l2","bl3","OneLossCard","+30p","-750p","cold",1,15,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"130",11,"B","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","cold",1,10,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"131",11,"B","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","cold",2,3,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"132",11,"B","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","cold",2,14,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"133",11,"B","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","cold",1,7,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"134",11,"B","b2p1g2l1","bl2","OneLossCard","+30p","-250p","cold",2,20,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"135",11,"B","b2p1g2l2","bl2","OneLossCard","+30p","-750p","cold",1,15,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"136",11,"B","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","cold",1,8,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"137",11,"B","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","cold",1,3,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"138",11,"B","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","cold",2,15,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"139",11,"B","b1p2g2l1","bl1","ThreeLossCards","+30p","-250p","cold",2,10,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"140",11,"B","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","cold",2,6,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"141",11,"B","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","cold",2,8,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"142",11,"B","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","cold",1,2,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"143",11,"B","b2p1g1l1","bl2","OneLossCard","+10p","-250p","cold",1,18,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"144",11,"B","b2p1g1l2","bl2","OneLossCard","+10p","-750p","cold",1,10,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"145",12,"A","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"146",12,"A","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"147",12,"A","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"148",12,"A","b1p1g1l1","bl1","OneLossCard","+10p","-250p","hot",2,8,30.75,65.8,57.2,71,51.75,71
"149",12,"A","b1p1g1l2","bl1","OneLossCard","+10p","-750p","hot",1,5,30.75,65.8,57.2,71,51.75,71
"150",12,"A","b2p1g2l2","bl2","OneLossCard","+30p","-750p","hot",1,10,30.75,65.8,57.2,71,51.75,71
"151",12,"A","b3p1g1l2","bl3","OneLossCard","+10p","-750p","hot",2,5,30.75,65.8,57.2,71,51.75,71
"152",12,"A","b3p1g2l1","bl3","OneLossCard","+30p","-250p","hot",1,13,30.75,65.8,57.2,71,51.75,71
"153",12,"A","b3p1g2l2","bl3","OneLossCard","+30p","-750p","hot",1,11,30.75,65.8,57.2,71,51.75,71
"154",12,"A","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"155",12,"A","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"156",12,"A","b2p1g1l1","bl2","OneLossCard","+10p","-250p","hot",2,4,30.75,65.8,57.2,71,51.75,71
"157",12,"A","b2p1g1l2","bl2","OneLossCard","+10p","-750p","hot",1,4,30.75,65.8,57.2,71,51.75,71
"158",12,"A","b2p1g2l1","bl2","OneLossCard","+30p","-250p","hot",2,9,30.75,65.8,57.2,71,51.75,71
